count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
7018,2018,1,"South West",71,Devon,A381,Major,"A381 (other branch)",A379,272000,43828,50.28050245,-3.79786139,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",E,4,46,2755,22,631,42,1,0,0,0,0,43,3496
7018,2018,1,"South West",71,Devon,A381,Major,"A381 (other branch)",A379,272000,43828,50.28050245,-3.79786139,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",W,6,46,2531,19,604,48,1,3,1,0,0,53,3253
7019,2018,1,"South West",71,Devon,A382,Major,B3344,B3212,280000,80900,50.61543119,-3.69751901,10.80,6.71,Counted,"Manual count",N,6,19,1432,13,388,31,10,0,19,3,4,68,1921
7019,2018,1,"South West",71,Devon,A382,Major,B3344,B3212,280000,80900,50.61543119,-3.69751901,10.80,6.71,Counted,"Manual count",S,15,18,1442,15,382,29,4,1,25,6,10,76,1933
7020,2018,1,"South West",71,Devon,A383,Major,A38(T),"Chercombe Bridge Rd, Newton Abbot",281582,71914,50.53497919,-3.67230463,5.90,3.67,Estimated,"Estimated using previous year's AADF on this link",W,2,26,3591,24,776,73,35,10,8,10,9,146,4564
7020,2018,1,"South West",71,Devon,A383,Major,A38(T),"Chercombe Bridge Rd, Newton Abbot",281582,71914,50.53497919,-3.67230463,5.90,3.67,Estimated,"Estimated using previous year's AADF on this link",E,15,37,3676,27,737,62,20,5,13,6,13,119,4596
7022,2018,1,"South West",71,Devon,A385,Major,A381,A381,280030,60800,50.43475769,-3.69062437,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",W,31,93,6950,101,1498,243,37,8,13,34,24,358,9000
7022,2018,1,"South West",71,Devon,A385,Major,A381,A381,280030,60800,50.43475769,-3.69062437,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",E,43,102,8055,91,1818,233,48,3,19,21,20,345,10411
7024,2018,1,"South West",71,Devon,A386,Major,"C Road HATHERLEIGH ROAD","A3072 Lamerton Cross",257503,98151,50.76540218,-4.02196941,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",N,2,20,1888,15,444,49,21,10,16,22,36,153,2520
7024,2018,1,"South West",71,Devon,A386,Major,"C Road HATHERLEIGH ROAD","A3072 Lamerton Cross",257503,98151,50.76540218,-4.02196941,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",S,4,24,1971,17,468,51,17,20,12,21,44,165,2645
7025,2018,1,"South West",71,Devon,A386,Major,B3357,"C road to Lydford",250402,77933,50.58192100,-4.11440690,12.00,7.46,Estimated,"Estimated using previous year's AADF on this link",N,9,12,2458,33,793,59,42,1,7,4,52,165,3461
7025,2018,1,"South West",71,Devon,A386,Major,B3357,"C road to Lydford",250402,77933,50.58192100,-4.11440690,12.00,7.46,Estimated,"Estimated using previous year's AADF on this link",S,4,8,2468,42,835,70,36,3,5,3,35,153,3506
7029,2018,1,"South West",71,Devon,A388,Major,A3072,B3227,240000,112600,50.89066702,-4.27627325,15.50,9.63,Estimated,"Estimated using previous year's AADF on this link",N,0,4,1035,11,333,39,15,14,18,5,4,95,1477
7029,2018,1,"South West",71,Devon,A388,Major,A3072,B3227,240000,112600,50.89066702,-4.27627325,15.50,9.63,Estimated,"Estimated using previous year's AADF on this link",S,0,3,1030,9,278,24,14,15,9,3,9,73,1393
7041,2018,1,"South West",71,Devon,A396,Major,A3072,"Ashley Rise, Tiverton",295000,110703,50.88624377,-3.49408832,5.20,3.23,Estimated,"Estimated using previous year's AADF on this link",N,8,40,3306,56,839,64,15,0,15,1,27,122,4364
7041,2018,1,"South West",71,Devon,A396,Major,A3072,"Ashley Rise, Tiverton",295000,110703,50.88624377,-3.49408832,5.20,3.23,Estimated,"Estimated using previous year's AADF on this link",S,11,39,3132,53,857,63,22,2,20,1,23,130,4212
7576,2018,1,"South West",71,Devon,A3052,Major,"A376 Exmouth Road",B3180,299638,90756,50.70775024,-3.42271832,7.80,4.85,Estimated,"Estimated using previous year's AADF on this link",E,7,64,5639,59,1679,307,104,44,126,90,77,748,8188
7576,2018,1,"South West",71,Devon,A3052,Major,"A376 Exmouth Road",B3180,299638,90756,50.70775024,-3.42271832,7.80,4.85,Estimated,"Estimated using previous year's AADF on this link",W,7,97,5990,62,1718,256,94,45,117,87,65,664,8531
7586,2018,1,"South West",71,Devon,A3072,Major,"A3124 The Barton","A377 Copplestone",270000,101720,50.80041720,-3.84612845,11.00,6.84,Estimated,"Estimated using previous year's AADF on this link",E,6,28,1156,14,349,45,14,6,6,7,38,116,1662
7586,2018,1,"South West",71,Devon,A3072,Major,"A3124 The Barton","A377 Copplestone",270000,101720,50.80041720,-3.84612845,11.00,6.84,Estimated,"Estimated using previous year's AADF on this link",W,3,44,1215,14,313,37,17,6,8,12,15,95,1681
7587,2018,1,"South West",71,Devon,A388,Major,A3072,A3072,234355,103600,50.80821106,-4.35239021,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",N,0,19,2589,19,835,53,46,2,13,3,37,154,3616
7587,2018,1,"South West",71,Devon,A388,Major,A3072,A3072,234355,103600,50.80821106,-4.35239021,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",S,0,17,2884,21,748,38,35,5,12,1,20,111,3781
8027,2018,1,"South West",71,Devon,A361,Major,A396,M5,300000,114266,50.91916188,-3.42400762,8.50,5.28,Estimated,"Estimated using previous year's AADF on this link",E,2,30,8084,30,2640,365,118,67,65,121,182,917,11700
8027,2018,1,"South West",71,Devon,A361,Major,A396,M5,300000,114266,50.91916188,-3.42400762,8.50,5.28,Estimated,"Estimated using previous year's AADF on this link",W,1,46,7900,23,2684,332,128,42,72,84,203,861,11514
8078,2018,1,"South West",71,Devon,A386,Major,"C road to Lydford","Station Rd",252514,86678,50.66105025,-4.08807568,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",N,0,23,2135,20,494,53,18,1,8,16,16,112,2784
8078,2018,1,"South West",71,Devon,A386,Major,"C road to Lydford","Station Rd",252514,86678,50.66105025,-4.08807568,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",S,2,34,2088,22,599,51,10,5,6,9,13,94,2838
8324,2018,1,"South West",71,Devon,A381,Major,A382,"Forde Park",286000,71150,50.52898987,-3.60975698,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",E,25,166,7512,26,1678,108,19,2,12,18,16,174,9555
8324,2018,1,"South West",71,Devon,A381,Major,A382,"Forde Park",286000,71150,50.52898987,-3.60975698,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",W,29,157,7461,23,1600,70,24,6,7,9,10,125,9366
8403,2018,1,"South West",71,Devon,A380,Major,"Aller Brake Rd",A381,287273,70106,50.51985175,-3.59148813,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",N,77,203,17714,176,3068,295,90,29,56,78,35,582,21744
8403,2018,1,"South West",71,Devon,A380,Major,"Aller Brake Rd",A381,287273,70106,50.51985175,-3.59148813,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",S,99,242,18352,144,3184,268,82,13,54,41,67,526,22448
8621,2018,1,"South West",71,Devon,A381,Major,"A3122 Totnes Cross","C Plymouth Road",277694,53142,50.36543500,-3.72100580,0.90,0.56,Counted,"Manual count",N,1,92,3602,34,1000,96,20,13,15,16,15,174,4902
8621,2018,1,"South West",71,Devon,A381,Major,"A3122 Totnes Cross","C Plymouth Road",277694,53142,50.36543500,-3.72100580,0.90,0.56,Counted,"Manual count",S,1,52,2186,33,665,105,14,6,23,14,17,178,3114
8622,2018,1,"South West",71,Devon,A3079,Major,"A3072 Dunsland Cross","A386 Fowley Cross Rndbt",244300,100000,50.77862204,-4.20982844,20.80,12.92,Estimated,"Estimated using previous year's AADF on this link",E,2,1,1301,13,301,33,10,4,15,9,27,98,1715
8622,2018,1,"South West",71,Devon,A3079,Major,"A3072 Dunsland Cross","A386 Fowley Cross Rndbt",244300,100000,50.77862204,-4.20982844,20.80,12.92,Estimated,"Estimated using previous year's AADF on this link",W,2,9,1334,15,304,46,10,4,8,18,20,106,1768
8683,2018,1,"South West",71,Devon,A35,Major,A358,"LA Boundary",330213,96875,50.76724869,-2.99095159,5.40,3.36,Estimated,"Estimated using previous year's AADF on this link",E,1,25,5183,26,1100,112,21,11,26,45,67,283,6616
8683,2018,1,"South West",71,Devon,A35,Major,A358,"LA Boundary",330213,96875,50.76724869,-2.99095159,5.40,3.36,Estimated,"Estimated using previous year's AADF on this link",W,1,35,4911,31,1131,129,18,10,26,42,84,309,6417
16023,2018,1,"South West",71,Devon,M5,Major,30,29,296900,92000,50.71845384,-3.46182927,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",N,0,175,40271,150,6755,1171,325,170,223,244,1906,4039,51391
16023,2018,1,"South West",71,Devon,M5,Major,30,29,296900,92000,50.71845384,-3.46182927,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",S,0,164,39881,173,7577,1253,337,102,229,231,1548,3700,51495
16296,2018,1,"South West",71,Devon,A30,Major,A35,A303(T),318222,102580,50.81697195,-3.16222208,8.10,5.03,Estimated,"Estimated using previous year's AADF on this link",N,4,44,6268,26,1320,183,28,15,27,114,95,461,8120
16296,2018,1,"South West",71,Devon,A30,Major,A35,A303(T),318222,102580,50.81697195,-3.16222208,8.10,5.03,Estimated,"Estimated using previous year's AADF on this link",S,3,68,6461,17,1377,170,41,10,23,87,116,446,8369
16382,2018,1,"South West",71,Devon,A379,Major,"Bridge road/Sannerville Way Rndbt","A38 Mid Junction",292400,88979,50.69047991,-3.52466920,3.50,2.17,Estimated,"Estimated using previous year's AADF on this link",E,13,135,6195,59,1524,178,43,10,58,28,37,356,8270
16382,2018,1,"South West",71,Devon,A379,Major,"Bridge road/Sannerville Way Rndbt","A38 Mid Junction",292400,88979,50.69047991,-3.52466920,3.50,2.17,Estimated,"Estimated using previous year's AADF on this link",W,16,124,5926,52,1371,213,56,11,42,34,18,373,7847
16383,2018,1,"South West",71,Devon,A38,Major,"A382 Newton Road",B3334,283600,76000,50.57211459,-3.64512044,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",N,13,114,21441,96,4865,563,144,68,84,365,329,1553,28070
16383,2018,1,"South West",71,Devon,A38,Major,"A382 Newton Road",B3334,283600,76000,50.57211459,-3.64512044,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",S,6,121,21676,92,4932,660,144,36,84,356,348,1628,28450
16384,2018,1,"South West",71,Devon,A38,Major,B3372,"A385 S of Sion Abbey",270000,59272,50.41888583,-3.83125066,3.60,2.24,Estimated,"Estimated using previous year's AADF on this link",E,0,89,14456,84,3215,369,95,37,58,123,378,1059,18903
16384,2018,1,"South West",71,Devon,A38,Major,B3372,"A385 S of Sion Abbey",270000,59272,50.41888583,-3.83125066,3.60,2.24,Estimated,"Estimated using previous year's AADF on this link",W,0,85,14626,69,3496,326,109,35,65,90,462,1087,19363
16951,2018,1,"South West",71,Devon,A39,Major,"Alexandra Road","Whiddon Drive",257000,132600,51.07486037,-4.04261380,1.70,1.06,Estimated,"Estimated using previous year's AADF on this link",E,21,67,6599,24,1162,75,15,11,7,12,9,129,7981
16951,2018,1,"South West",71,Devon,A39,Major,"Alexandra Road","Whiddon Drive",257000,132600,51.07486037,-4.04261380,1.70,1.06,Estimated,"Estimated using previous year's AADF on this link",W,27,46,6146,19,1060,65,17,6,7,13,16,125,7396
16970,2018,1,"South West",71,Devon,A377,Major,A3072,B3220,275090,104900,50.83012023,-3.77502026,3.20,1.99,Counted,"Manual count",N,7,19,1891,24,376,50,18,4,24,8,5,109,2420
16970,2018,1,"South West",71,Devon,A377,Major,A3072,B3220,275090,104900,50.83012023,-3.77502026,3.20,1.99,Counted,"Manual count",S,3,17,1953,24,342,54,18,7,37,8,2,126,2463
16971,2018,1,"South West",71,Devon,A377,Major,"A3015 Western Way","B3183 New North Road",291300,93000,50.72642170,-3.54142133,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",N,129,76,4641,31,942,106,41,1,30,10,44,231,5921
16971,2018,1,"South West",71,Devon,A377,Major,"A3015 Western Way","B3183 New North Road",291300,93000,50.72642170,-3.54142133,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",S,114,92,4913,24,985,111,48,6,30,20,32,247,6262
16972,2018,1,"South West",71,Devon,A377,Major,B3123,"A3015 Nr Frog St",291520,91000,50.70848401,-3.53771693,1.80,1.12,Counted,"Manual count",N,58,106,8021,36,1500,131,34,8,35,37,49,295,9959
16972,2018,1,"South West",71,Devon,A377,Major,B3123,"A3015 Nr Frog St",291520,91000,50.70848401,-3.53771693,1.80,1.12,Counted,"Manual count",S,71,108,8789,32,1580,140,24,14,31,46,33,289,10798
